state,code,iso-code,
Andaman and Nicobar Islands,AN,IN-AN,
Andhra Pradesh,AP,IN-AP,
Arunachal Pradesh,AR,IN-AR,
Assam,AS,IN-AS,
Bihar,BR,IN-BR,
Chandigarh,CH,IN-CH,
Chhattisgarh,CT,IN-CT,
Daman and Diu,DD,IN-DD,
Delhi,DL,IN-DL,
Dadra and Nagar Haveli,DN,IN-DN,
Goa,GA,IN-GA,
Gujarat,GJ,IN-GJ,
Himachal Pradesh,HP,IN-HP,
Haryana,HR,IN-HR,
Jharkhand,JH,IN-JH,
Jammu and Kashmir,JK,IN-JK,
Karnataka,KA,IN-KA,
Kerala,KL,IN-KL,
Lakshadweep,LD,IN-LD,
Maharashtra,MH,IN-MH,
Meghalaya,ML,IN-ML,
Manipur,MN,IN-MN,
Madhya Pradesh,MP,IN-MP,
Mizoram,MZ,IN-MZ,
Nagaland,NL,IN-NL,
Odisha,OR,IN-OR,
Punjab,PB,IN-PB,
Puducherry,PY,IN-PY,
Rajasthan,RJ,IN-RJ,
Sikkim,SK,IN-SK,
Telangana,TG,IN-TG,
Tamil Nadu,TN,IN-TN,
Tripura,TR,IN-TR,
Uttar Pradesh,UP,IN-UP,
Uttarakhand,UT,IN-UT,
West Bengal,WB,IN-WB,