state,code,iso-code
Aguascalientes,AGU,MX-AGU,
Baja California,BCN,MX-BCN,
Baja California Sur,BCS,MX-BCS,
Campeche,CAM,MX-CAM,
Chihuahua,CHH,MX-CHH,
Chiapas,CHP,MX-CHP,
Mexican Federal District,CMX,MX-CMX,
Coahuila,COA,MX-COA,
Colima,COL,MX-COL,
Durango,DUR,MX-DUR,
Guerrero,GRO,MX-GRO,
Guanajuato,GUA,MX-GUA,
Hidalgo,HID,MX-HID,
Jalisco,JAL,MX-JAL,
México,MEX,MX-MEX,
Michoacán,MIC,MX-MIC,
Morelos,MOR,MX-MOR,
Nayarit,NAY,MX-NAY,
Nuevo León,NLE,MX-NLE,
Oaxaca,OAX,MX-OAX,
Puebla,PUE,MX-PUE,
Querétaro,QUE,MX-QUE,
Quintana Roo,ROO,MX-ROO,
Sinaloa,SIN,MX-SIN,
San Luis Potosí,SLP,MX-SLP,
Sonora,SON,MX-SON,
Tabasco,TAB,MX-TAB,
Tamaulipas,TAM,MX-TAM,
Tlaxcala,TLA,MX-TLA,
Veracruz,VER,MX-VER,
Yucatán,YUC,MX-YUC,
Zacatecas,ZAC,MX-ZAC,